detector,param,value,det_per_chan_min,recall,precision_lower_bound,tp,n_true,n_det
Janca,k1,2.6,13.164,0.7770,0.0733,2889,3718,39417
Janca,k1,3,8.918,0.7434,0.1035,2764,3718,26703
Janca,k1,3.4,6.500,0.7117,0.1360,2646,3718,19461
Janca,k1,3.8,5.019,0.6729,0.1665,2502,3718,15027
Janca,k1,4.2,4.024,0.6425,0.1983,2389,3718,12050
Janca,k1,4.6,3.307,0.6087,0.2286,2263,3718,9901
Janca,k1,5,2.744,0.5718,0.2588,2126,3718,8215
Janca,k1,5.5,2.237,0.5253,0.2915,1953,3718,6699
Janca,k1,6,1.889,0.4866,0.3198,1809,3718,5657
Barkmeier,TAMP,400,8.080,0.6673,0.1025,2481,3718,24194
Barkmeier,TAMP,600,5.738,0.6396,0.1384,2378,3718,17182
Barkmeier,TAMP,800,4.035,0.5820,0.1791,2164,3718,12082
Barkmeier,TAMP,1000,2.850,0.5011,0.2183,1863,3718,8534
Barkmeier,TAMP,1200,2.081,0.4263,0.2544,1585,3718,6231
Barkmeier,TAMP,1500,1.433,0.3480,0.3016,1294,3718,4290
Delphos,Spk_thr,30,4.861,0.5850,0.1494,2175,3718,14554
Delphos,Spk_thr,50,3.217,0.5422,0.2093,2016,3718,9632
Delphos,Spk_thr,80,2.250,0.4736,0.2614,1761,3718,6736
Delphos,Spk_thr,120,1.659,0.4139,0.3099,1539,3718,4966
